filename,ppm
20220120_190949___28.552655_77.105907___[org],189.82
20220120_191219___28.550738_77.120168___[org],189.82
20220120_191326___28.553902_77.123568___[org],189.82
20220120_191443___28.55705_77.132781___[org],189.82
20220120_191528___28.561069_77.133684___[org],189.82
20220120_191554___28.563708_77.133846___[org],189.82
20220120_191648___28.566905_77.133509___[org],189.82
20220121_170153___28.631868_77.375178___[org],145.14
20220121_170208___28.631925_77.373854___[org],145.14
20220121_170328___28.631957_77.358967___[org],145.14
20220121_170438___28.631901_77.34521___[org],145.14
20220121_170515___28.632077_77.340302___[org],145.14
20220121_170533___28.632168_77.337596___[org],145.14
20220121_170850___28.628075_77.315811___[org],242.0
20220121_170942___28.631314_77.316076___[org],242.0
20220121_171031___28.636138_77.314466___[org],242.0
20220121_171057___28.638502_77.314679___[org],242.0
20220121_171129___28.641439_77.31584___[org],242.0
20220121_171142___28.642491_77.31634___[org],242.0
20220121_171208___28.644079_77.316672___[org],242.0
20220121_171225___28.644754_77.316384___[org],242.0
20220121_171246___28.644787_77.315188___[org],242.0
20220121_171254___28.644828_77.314759___[org],242.0
20220121_171310___28.644775_77.314376___[org],242.0
20220121_171330___28.644784_77.313864___[org],242.0
20220121_171356___28.645056_77.312288___[org],242.0
20220121_171400___28.645056_77.312288___[org],242.0
20220121_171418___28.646094_77.313237___[org],242.0
20220121_171432___28.646525_77.313775___[org],242.0
20220121_171557___28.648759_77.316802___[org],242.0
20220121_171620___28.648928_77.317168___[org],242.0
20220121_171653___28.648781_77.317658___[org],242.0
20220121_171707___28.64911_77.318156___[org],242.0
20220121_171741___28.651876_77.319508___[org],242.0
20220121_171819___28.655545_77.319781___[org],242.0
20220121_171849___28.657976_77.320062___[org],242.0
20220121_171954___28.659664_77.315699___[org],242.0
20220121_172105___28.659549_77.312785___[org],242.0
20220121_172127___28.659796_77.310875___[org],242.0
20220121_172200___28.658526_77.310567___[org],242.0
20220121_172231___28.657375_77.31059___[org],242.0
20220121_172338___28.65329_77.308303___[org],242.0
20220121_172351___28.652166_77.307214___[org],242.0
20220121_172403___28.651697_77.306612___[org],242.0
20220121_172444___28.649164_77.304448___[org],242.0
20220121_172816___28.640972_77.301731___[org],242.0
20220121_173028___28.635244_77.305182___[org],242.0
20220121_173057___28.634873_77.304685___[org],242.0
20220121_173102___28.634425_77.304852___[org],242.0
20220121_173106___28.634425_77.304852___[org],242.0
20220121_173123___28.633268_77.30537___[org],242.0
20220121_173137___28.632879_77.305535___[org],242.0
20220121_173150___28.632239_77.305759___[org],242.0
20220121_173155___28.631939_77.305859___[org],242.0
20220121_173206___28.631146_77.306302___[org],147.0
20220121_173225___28.630327_77.306664___[org],147.0
20220121_173237___28.629552_77.30684___[org],147.0
20220121_173247___28.629418_77.306854___[org],147.0
20220121_173351___28.630585_77.311037___[org],242.0
20220121_173359___28.630658_77.311242___[org],242.0
20220121_173406___28.63082_77.311557___[org],242.0
20220121_173415___28.63081_77.311595___[org],242.0
20220121_173421___28.63081_77.311595___[org],242.0
20220121_173429___28.630763_77.311556___[org],242.0
20220121_173440___28.630685_77.311382___[org],242.0
20220121_173456___28.630825_77.311407___[org],242.0
20220121_173520___28.629943_77.311941___[org],242.0
20220121_173552___28.629879_77.312289___[org],242.0
20220121_173558___28.629879_77.312289___[org],242.0
20220121_173602___28.629879_77.312289___[org],242.0
20220121_173607___28.629879_77.312289___[org],242.0
20220121_173615___28.629898_77.312332___[org],242.0
20220121_173636___28.629853_77.312269___[org],242.0
20220121_173644___28.629853_77.312269___[org],242.0
20220121_173647___28.629853_77.312269___[org],242.0
20220121_173652___28.629866_77.312303___[org],242.0
20220121_173704___28.629866_77.312303___[org],242.0
20220121_173722___28.629866_77.312303___[org],242.0
20220121_173753___28.629787_77.312323___[org],192.0
20220121_173807___28.629787_77.312323___[org],192.0
20220121_174257___28.628467_77.312745___[org],192.0
20220121_174303___28.628467_77.312745___[org],192.0
20220121_174403___28.6283_77.313009___[org],192.0
20220121_174510___28.630805_77.31503___[org],192.0
20220121_174609___28.632938_77.315547___[org],192.0
20220121_174624___28.633938_77.31528___[org],192.0
20220121_174639___28.635733_77.314658___[org],192.0
20220121_174704___28.63739_77.314455___[org],192.0
20220121_174716___28.639033_77.314877___[org],192.0
20220121_174812___28.643081_77.316336___[org],192.0
20220121_174830___28.644124_77.316652___[org],192.0
20220121_174833___28.644488_77.31667___[org],192.0
20220121_174845___28.644585_77.316757___[org],192.0
20220121_174943___28.647158_77.317768___[org],192.0
20220121_174953___28.64819_77.318162___[org],192.0
20220121_175006___28.648815_77.318503___[org],192.0
20220121_175104___28.654191_77.31972___[org],192.0
20220121_175129___28.657315_77.319855___[org],192.0
20220121_175141___28.657723_77.319778___[org],192.0
20220121_175520___28.665051_77.314673___[org],227.0
20220121_175529___28.667685_77.314507___[org],227.0
20220121_175532___28.667685_77.314507___[org],227.0
20220121_175537___28.66817_77.314503___[org],227.0
20220121_175541___28.66817_77.314503___[org],227.0
20220121_175547___28.668189_77.314546___[org],227.0
20220121_175626___28.667866_77.314722___[org],227.0
20220121_175637___28.667636_77.314947___[org],227.0
