filename,ppm
Shanghai1/201407241115_mod,21.0
Shanghai1/201407271015_mod,49.0
Shanghai1/201407121315_mod,63.0
Shanghai1/201406171145_mod,35.0
Shanghai1/201407191415_mod,23.0
Shanghai1/201407111215_mod,115.0
Shanghai1/201406141045_mod,93.0
Shanghai1/201407220845_mod,9.0
Shanghai1/201405151100_mod,69.0
Shanghai1/201406181315_mod,20.0
Shanghai1/201408051315_mod,33.0
Shanghai1/201405201200_mod,70.0
Shanghai1/201407301445_mod,23.0
Shanghai1/201407281245_mod,43.0
Shanghai1/201407201445_mod,24.0
Shanghai1/201408061215_mod,41.0
Shanghai1/201405261245_mod,83.0
Shanghai1/201407231545_mod,17.0
Shanghai1/201407261415_mod,71.0
Shanghai1/201408031345_mod,47.0
Shanghai1/201407251515_mod,57.0
Shanghai1/201408081445_mod,26.0
Shanghai1/201406151445_mod,52.0
Shanghai1/201407240815_mod,17.0
Shanghai1/201407181015_mod,14.0
Shanghai1/201406061545_mod,39.0
Shanghai1/201405101130_mod,39.0
Shanghai1/201407041345_mod,26.0
Shanghai1/201407141345_mod,29.0
Shanghai1/201406121015_mod,54.0
Shanghai1/201405171400_mod,39.0
Shanghai1/201407071245_mod,45.0
Shanghai1/201407221145_mod,20.0
Shanghai1/201406271315_mod,35.0
Shanghai1/201407211045_mod,23.0
Shanghai1/201406241215_mod,50.0
Shanghai1/201407071045_mod,36.0
Shanghai1/201407171045_mod,20.0
Shanghai1/201406121215_mod,51.0
Shanghai1/201408050815_mod,23.0
Shanghai1/201407041145_mod,73.0
Shanghai1/201407141145_mod,67.0
Shanghai1/201405101330_mod,34.0
Shanghai1/201405211400_mod,125.0
Shanghai1/201405251030_mod,86.0
Shanghai1/201407211245_mod,21.0
Shanghai1/201407291445_mod,27.0
Shanghai1/201405221500_mod,38.0
Shanghai1/201406271115_mod,10.0
Shanghai1/201407221345_mod,23.0
Shanghai1/201405301015_mod,75.0
Shanghai1/201408031145_mod,66.0
Shanghai1/201407131515_mod,29.0
Shanghai1/201407101415_mod,85.0
Shanghai1/201407181215_mod,22.0
Shanghai1/201406081115_mod,42.0
Shanghai1/201405091130_mod,47.0
Shanghai1/201405151300_mod,42.0
Shanghai1/201407081200_mod,25.0
Shanghai1/201407051545_mod,32.0
Shanghai1/201405161200_mod,53.0
Shanghai1/201405061200_mod,28.0
Shanghai1/201407161445_mod,23.0
Shanghai1/201407061445_mod,49.0
Shanghai1/201408061015_mod,44.0
Shanghai1/201405231100_mod,22.0
Shanghai1/201407281045_mod,29.0
Shanghai1/201408051115_mod,36.0
Shanghai1/201407140845_mod,66.0
Shanghai1/201407271215_mod,42.0
Shanghai1/201406221045_mod,29.0
Shanghai1/201407241315_mod,17.0
Shanghai1/201408011445_mod,19.0
Shanghai1/201406141245_mod,107.0
Shanghai1/201407111015_mod,113.0
Shanghai1/201406071345_mod,59.0
Shanghai1/201406171345_mod,42.0
Shanghai1/201407121115_mod,64.0
