filename,datetime,dt_round,dt_round_2,ppm
Shanghai1/201407241115,201407241115,2014-07-24 11:15:00,2014-07-24 11:00:00,21.0
Shanghai1/201407271015,201407271015,2014-07-27 10:15:00,2014-07-27 10:00:00,49.0
Shanghai1/201407121315,201407121315,2014-07-12 13:15:00,2014-07-12 13:00:00,63.0
Shanghai1/201406171145,201406171145,2014-06-17 11:45:00,2014-06-17 12:00:00,35.0
Shanghai1/201407191415,201407191415,2014-07-19 14:15:00,2014-07-19 14:00:00,23.0
Shanghai1/201407111215,201407111215,2014-07-11 12:15:00,2014-07-11 12:00:00,115.0
Shanghai1/201406141045,201406141045,2014-06-14 10:45:00,2014-06-14 11:00:00,93.0
Shanghai1/201407220845,201407220845,2014-07-22 08:45:00,2014-07-22 09:00:00,9.0
Shanghai1/201405151100,201405151100,2014-05-15 11:00:00,2014-05-15 11:00:00,69.0
Shanghai1/201406181315,201406181315,2014-06-18 13:15:00,2014-06-18 13:00:00,20.0
Shanghai1/201408051315,201408051315,2014-08-05 13:15:00,2014-08-05 13:00:00,33.0
Shanghai1/201405201200,201405201200,2014-05-20 12:00:00,2014-05-20 12:00:00,70.0
Shanghai1/201407301445,201407301445,2014-07-30 14:45:00,2014-07-30 15:00:00,23.0
Shanghai1/201407281245,201407281245,2014-07-28 12:45:00,2014-07-28 13:00:00,43.0
Shanghai1/201407201445,201407201445,2014-07-20 14:45:00,2014-07-20 15:00:00,24.0
Shanghai1/201408061215,201408061215,2014-08-06 12:15:00,2014-08-06 12:00:00,41.0
Shanghai1/201405261245,201405261245,2014-05-26 12:45:00,2014-05-26 13:00:00,83.0
Shanghai1/201407231545,201407231545,2014-07-23 15:45:00,2014-07-23 16:00:00,17.0
Shanghai1/201407261415,201407261415,2014-07-26 14:15:00,2014-07-26 14:00:00,71.0
Shanghai1/201408031345,201408031345,2014-08-03 13:45:00,2014-08-03 14:00:00,47.0
Shanghai1/201407251515,201407251515,2014-07-25 15:15:00,2014-07-25 15:00:00,57.0
Shanghai1/201408081445,201408081445,2014-08-08 14:45:00,2014-08-08 15:00:00,26.0
Shanghai1/201406151445,201406151445,2014-06-15 14:45:00,2014-06-15 15:00:00,52.0
Shanghai1/201407240815,201407240815,2014-07-24 08:15:00,2014-07-24 08:00:00,17.0
Shanghai1/201407181015,201407181015,2014-07-18 10:15:00,2014-07-18 10:00:00,14.0
Shanghai1/201406061545,201406061545,2014-06-06 15:45:00,2014-06-06 16:00:00,39.0
Shanghai1/201405101130,201405101130,2014-05-10 11:30:00,2014-05-10 12:00:00,39.0
Shanghai1/201407041345,201407041345,2014-07-04 13:45:00,2014-07-04 14:00:00,26.0
Shanghai1/201407141345,201407141345,2014-07-14 13:45:00,2014-07-14 14:00:00,29.0
Shanghai1/201406121015,201406121015,2014-06-12 10:15:00,2014-06-12 10:00:00,54.0
Shanghai1/201405171400,201405171400,2014-05-17 14:00:00,2014-05-17 14:00:00,39.0
Shanghai1/201407071245,201407071245,2014-07-07 12:45:00,2014-07-07 13:00:00,45.0
Shanghai1/201407221145,201407221145,2014-07-22 11:45:00,2014-07-22 12:00:00,20.0
Shanghai1/201406271315,201406271315,2014-06-27 13:15:00,2014-06-27 13:00:00,35.0
Shanghai1/201407211045,201407211045,2014-07-21 10:45:00,2014-07-21 11:00:00,23.0
Shanghai1/201406241215,201406241215,2014-06-24 12:15:00,2014-06-24 12:00:00,50.0
Shanghai1/201407071045,201407071045,2014-07-07 10:45:00,2014-07-07 11:00:00,36.0
Shanghai1/201407171045,201407171045,2014-07-17 10:45:00,2014-07-17 11:00:00,20.0
Shanghai1/201406121215,201406121215,2014-06-12 12:15:00,2014-06-12 12:00:00,51.0
Shanghai1/201408050815,201408050815,2014-08-05 08:15:00,2014-08-05 08:00:00,23.0
Shanghai1/201407041145,201407041145,2014-07-04 11:45:00,2014-07-04 12:00:00,73.0
