filename,ppm
RK Puram_440526_chan02_20220315_010141,168.0
RK Puram_440526_chan01_20220309_040139,100.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220403_150048,45.0
"Sector 8, Dwarka_361115_chan01_20211011_221908",88.0
Sri Aurobindo Marg_456540_chan02_20220315_015035,106.0
N.P. Boys Sr. Sec. School_408511_chan01_20220321_130145,113.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220407_180032,25.0
N.P. Boys Sr. Sec. School_408511_chan03_20220315_070146,99.0
"Sector 8, Dwarka_361115_chan02_20211012_150143",31.0
"Sector 8, Dwarka_361115_chan02_20220420_025005",169.0
Sri Aurobindo Marg_456540_chan02_20220321_124939,140.0
Sri Aurobindo Marg_456540_chan01_20220419_235328,69.0
RK Puram_440526_chan02_20220315_160143,46.0
RK Puram_440526_chan02_20220309_184949,57.0
N.P. Boys Sr. Sec. School_408511_chan01_20220419_210134,78.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220407_180031,25.0
Sri Aurobindo Marg_456540_chan02_20220321_104942,283.0
N.P. Boys Sr. Sec. School_408511_chan01_20220316_040140,92.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220407_090042,223.0
"DITE, Okhla Industrial Area_523324_chan03_20220420_010144",127.0
N.P. Boys Sr. Sec. School_408511_chan03_20220316_003623,90.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220408_070055,157.0
N.P. Boys Sr. Sec. School_408511_chan03_20220419_220137,96.0
Sri Aurobindo Marg_456540_chan01_20220420_115327,100.0
N.P. Boys Sr. Sec. School_408511_chan01_20220315_050144,114.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220403_040050,128.0
Sri Aurobindo Marg_456540_chan02_20220314_235027,96.0
N.P. Boys Sr. Sec. School_408511_chan02_20220420_100144,141.0
"Sector 8, Dwarka_361115_chan02_20220420_055006",188.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220402_100052,128.0
"DITE, Okhla Industrial Area_523324_chan02_20220420_090155",158.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220402_030042,114.0
RK Puram_440526_chan01_20220314_150140,44.0
RK Puram_440526_chan02_20220315_210142,100.0
RK Puram_440526_chan02_20220309_224949,81.0
RK Puram_440526_chan01_20220309_050139,95.0
RK Puram_440526_chan02_20220315_050141,145.0
Sri Aurobindo Marg_456540_chan01_20220321_104937,283.0
N.P. Boys Sr. Sec. School_408511_chan03_20220314_230140,98.0
N.P. Boys Sr. Sec. School_408511_chan01_20220321_110145,177.0
N.P. Boys Sr. Sec. School_408511_chan01_20220420_010135,145.0
N.P. Boys Sr. Sec. School_408511_chan02_20220315_193619,65.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220401_220046,103.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220407_220032,83.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220420_170139,34.0
N.P. Boys Sr. Sec. School_408511_chan03_20220314_150143,60.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220401_230046,96.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220420_070036,91.0
N.P. Boys Sr. Sec. School_408511_chan03_20220315_030148,113.0
N.P. Boys Sr. Sec. School_408511_chan02_20220314_230138,98.0
N.P. Boys Sr. Sec. School_408511_chan03_20220315_213622,91.0
"Sector 8, Dwarka_361115_chan02_20211011_211915",118.0
Sri Aurobindo Marg_456540_chan02_20220315_235026,89.0
"Sector 8, Dwarka_361115_chan02_20220420_100149",141.0
"DITE, Okhla Industrial Area_523324_chan03_20220419_190148",52.0
"Sector 8, Dwarka_361115_chan02_20220419_155005",50.0
"DITE, Okhla Industrial Area_523324_chan03_20220420_030143",136.0
N.P. Boys Sr. Sec. School_408511_chan02_20220419_220135,96.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220420_060034,79.0
Sri Aurobindo Marg_456540_chan01_20220420_005327,130.0
Sri Aurobindo Marg_456540_chan01_20220420_095328,164.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220407_230032,96.0
N.P. Boys Sr. Sec. School_408511_chan01_20220420_070142,132.0
"Sector 8, Dwarka_361115_chan02_20211012_033733",81.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220419_210043,69.0
N.P. Boys Sr. Sec. School_408511_chan03_20220314_160140,52.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220402_090040,151.0
N.P. Boys Sr. Sec. School_408511_chan01_20220420_120143,73.0
N.P. Boys Sr. Sec. School_408511_chan02_20220315_050151,114.0
"DITE, Okhla Industrial Area_523324_chan02_20220419_190144",52.0
Sri Aurobindo Marg_456540_chan02_20220314_205025,74.0
N.P. Boys Sr. Sec. School_408511_chan02_20220315_233619,92.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220408_010045,136.0
