filename,ppm
20220122_165544___28.641457_77.374256___[org],97.0
20220121_175520___28.665051_77.314673___[org],227.0
20220121_193503___28.559902_77.26175___[org],235.0
20220121_182625___28.628236_77.271899___[org],138.0
20220122_175111___28.551897_77.329415___[org],64.0
20220121_191128___28.572836_77.209712___[org],184.0
20220122_175406___28.543966_77.32795___[org],64.0
20220121_183115___28.627742_77.243155___[org],140.0
20220121_184925___28.588653_77.233805___[org],93.11
20220121_173440___28.630685_77.311382___[org],242.0
20220121_171225___28.644754_77.316384___[org],242.0
20220121_173607___28.629879_77.312289___[org],242.0
20220121_185532___28.590318_77.223542___[org],291.2
20220121_171849___28.657976_77.320062___[org],242.0
20220122_161524___28.690097_77.453242___[org],126.0
20220122_162550___28.690338_77.436391___[org],126.0
20220122_165306___28.646038_77.369576___[org],97.0
20220122_182936___28.477578_77.482202___[org],80.0
20220122_161321___28.687307_77.450782___[org],126.0
20220121_171057___28.638502_77.314679___[org],242.0
20220121_175532___28.667685_77.314507___[org],227.0
20220122_170114___28.631952_77.370305___[org],110.37
20220121_184403___28.602359_77.231628___[org],140.0
20220121_183905___28.614111_77.234814___[org],140.0
20220121_173150___28.632239_77.305759___[org],242.0
20220122_165144___28.647714_77.371573___[org],97.0
20220121_191026___28.572522_77.211804___[org],184.0
20220122_182803___28.47207_77.487583___[org],80.0
20220122_161436___28.688822_77.451802___[org],126.0
20220121_184642___28.593151_77.234143___[org],93.11
20220122_173109___28.586256_77.310865___[org],122.0
20220121_192002___28.56542_77.246164___[org],235.0
20220121_181006___28.649117_77.304613___[org],192.0
20220121_193243___28.562846_77.250583___[org],235.0
20220121_182004___28.635948_77.28547___[org],138.0
20220121_174257___28.628467_77.312745___[org],192.0
20220122_173105___28.586256_77.310865___[org],122.0
20220121_182137___28.633781_77.282711___[org],138.0
20220122_164621___28.659857_77.376463___[org],132.0
20220121_184227___28.605417_77.226652___[org],140.0
20220122_171638___28.6238_77.308013___[org],143.0
20220121_183604___28.621043_77.237691___[org],140.0
20220120_191443___28.55705_77.132781___[org],189.82
20220122_165335___28.645836_77.37199___[org],97.0
20220122_170153___28.631509_77.367941___[org],110.37
20220121_170850___28.628075_77.315811___[org],242.0
20220122_175101___28.552728_77.328239___[org],64.0
20220121_190809___28.575791_77.218465___[org],184.0
20220121_173421___28.63081_77.311595___[org],242.0
20220121_191008___28.573109_77.213182___[org],184.0
20220121_190942___28.574009_77.215078___[org],184.0
20220121_182511___28.629908_77.277072___[org],138.0
20220121_191813___28.565575_77.245297___[org],235.0
20220121_184048___28.609228_77.22877___[org],140.0
20220121_175909___28.662948_77.314671___[org],227.0
